Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Cause of Death;Senator;Service in Senate;Notes;Language Preference;erro
Milton Edgar Maybee, M.P.;1872-11-08;Murray Township, Ontario, Canada;1947-02-03;farmer, rancher;3156 days [8 year(s), 7 month(s), 21 day(s)];(1921-12-06 - 1930-07-27);3156 days [8 year(s), 7 month(s), 21 day(s)];;;;;;
The Hon. Charles James Mayer, P.C., M.P.;1936-04-21;Saskatoon, Saskatchewan, Canada;2025-04-29;farmer;5270 days [14 year(s), 5 month(s), 5 day(s)];(1979-05-22 - 1988-11-20)|(1988-11-21 - 1993-10-24);5270 days [14 year(s), 5 month(s), 5 day(s)];;;;;;
Colin Mayes, M.P.;1948-04-11;New Westminster, British Columbia, Canada;;businessman;3556 days [9 year(s), 8 month(s), 26 day(s)];(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;;;;;
Philip William Mayfield, M.P.;1937-11-07;Williams Lake, British Columbia, Canada;;minister;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;;;
The Hon. Robert Wellington Mayhew, P.C., M.P.;1880-10-13;Cobden, Ontario, Canada;1971-07-28;ambassador, industrialist;5465 days [14 year(s), 11 month(s), 17 day(s)];(1937-11-29 - 1952-11-14);5465 days [14 year(s), 11 month(s), 17 day(s)];;;;;;
Hormidas Mayrand, M.P.;1858-08-15;Saint-Léon, Canada East;1928-07-04;farmer;4574 days [12 year(s), 6 month(s), 8 day(s)];(1903-03-03 - 1911-09-20)|(1917-12-17 - 1921-12-05);4574 days [12 year(s), 6 month(s), 8 day(s)];;;;;;
The Right Hon. Donald Frank Mazankowski, P.C., M.P.;1935-07-27;Viking, Alberta, Canada;2020-10-28;businessman;9253 days [25 year(s), 4 month(s)];(1968-06-25 - 1993-10-24);9253 days [25 year(s), 4 month(s)];;;;Of Polish origin.;;
Dan Mazier, M.P.;;;;farmer, president / manager, school board trustee;2382 days [6 year(s), 6 month(s), 8 day(s)];(2019-10-21 - 2025-04-27)|(2025-04-28 - );2382 days [6 year(s), 6 month(s), 8 day(s)];;;;;English;
John McAdam, M.P.;1807-03-28;Belfast, Ireland;1893-03-15;lumber merchant;467 days [1 year(s), 3 month(s), 11 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;;;;;
Duncan Hamilton McAlister, M.P.;1872-01-18;Belleisle, New Brunswick, Canada;1932-03-06;physician;1060 days [2 year(s), 10 month(s), 26 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;;;;;
John McAlister, M.P.;1842-07-27;Durham Centre, New Brunswick, Canada;1918-11-04;lawyer, teacher;3534 days [9 year(s), 8 month(s), 4 day(s)];(1891-03-05 - 1900-11-06);3534 days [9 year(s), 8 month(s), 4 day(s)];;;;;;
Allan Getchell McAvity, M.P.;1882-10-09;Saint John, New Brunswick, Canada;1944-06-24;engineer, merchant;764 days [2 year(s), 1 month(s), 4 day(s)];(1938-02-21 - 1940-03-25);764 days [2 year(s), 1 month(s), 4 day(s)];;;;;;
James Alexander McBain, M.P.;1910-05-30;St. Thomas, Ontario, Canada;1988-08-11;farmer;4249 days [11 year(s), 7 month(s), 18 day(s)];(1954-03-22 - 1965-11-07);4249 days [11 year(s), 7 month(s), 18 day(s)];;;;;;
Murray Arndell McBride, M.P.;1935-04-28;Westmeath, Ontario, Canada;;clergyperson, author;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;;;
Thomas George McBride, M.P.;1867-08-05;Keady, Ireland;1950-06-15;farmer;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;;;
Fred Alward McCain, M.P.;1917-11-11;Florenceville, New Brunswick, Canada;1997-10-12;farmer, produce dealer, businessman, teacher;5866 days [16 year(s), 22 day(s)];(1972-10-30 - 1988-11-20);5866 days [16 year(s), 22 day(s)];;;;;;
The Hon. Alexander McCall, M.P., Senator;1840-12-21;Charlotteville, Canada West;1925-06-10 (Died in Office);lumber merchant;5459 days [14 year(s), 11 month(s), 11 day(s)];(1908-10-26 - 1911-09-20);1060 days [2 year(s), 10 month(s), 26 day(s)];;(1913-05-26 - 1925-06-10);4399 days [12 year(s), 16 day(s)];;;
Angus Neil McCallum, M.P.;1892-04-09;Sunbury, Ontario, Canada;1946-12-07;farmer;876 days [2 year(s), 4 month(s), 24 day(s)];(1937-11-01 - 1940-03-25);876 days [2 year(s), 4 month(s), 24 day(s)];;;;;;
The Hon. John McCallum, P.C., M.P.;1950-04-09;Montreal, Quebec, Canada;2025-06-21;professor, economist, ambassador, author;5911 days [16 year(s), 2 month(s), 6 day(s)];(2000-11-27 - 2004-06-27)|(2004-06-28 - 2015-10-18)|(2015-10-19 - 2017-02-01);5911 days [16 year(s), 2 month(s), 6 day(s)];;;;;;
The Hon. Lachlin McCallum, Senator, M.P.;1823-03-15;Isle of Tiree, Argyleshire, Scotland;1903-01-13 (Died in Office);contractor, shipowner;12392 days [33 year(s), 11 month(s), 4 day(s)];(1867-09-20 - 1872-10-11)|(1874-01-22 - 1875-05-12)|(1875-06-22 - 1887-02-03);6570 days [17 year(s), 11 month(s), 26 day(s)];;(1887-02-04 - 1903-01-13);5822 days [15 year(s), 11 month(s), 8 day(s)];;;
The Hon. Mary Jane McCallum, Senator;;;;dental therapist, professor (assistant);3068 days [8 year(s), 4 month(s), 24 day(s)];;;;(2017-12-04 - );3068 days [8 year(s), 4 month(s), 24 day(s)];Cree Heritage;English;
The Hon. James Joseph McCann, P.C., M.P.;1887-03-29;Perth, Ontario, Canada;1961-04-11;physician;7910 days [21 year(s), 7 month(s), 27 day(s)];(1935-10-14 - 1957-06-09);7910 days [21 year(s), 7 month(s), 27 day(s)];;;;;;
D'Alton McCarthy, M.P.;1836-10-10;Blackrock, Ireland;1898-05-11 (Died in Office);lawyer;7819 days [21 year(s), 4 month(s), 27 day(s)];(1876-12-14 - 1878-09-16)|(1878-09-17 - 1898-05-11);7819 days [21 year(s), 4 month(s), 27 day(s)];;;;;;
The Hon. Leighton Goldie McCarthy, P.C., M.P.;1869-12-15;Walkerton, Ontario, Canada;1952-10-03;ambassador, lawyer;3603 days [9 year(s), 10 month(s), 12 day(s)];(1898-12-14 - 1908-10-25);3603 days [9 year(s), 10 month(s), 12 day(s)];;;;;;
Maitland Stewart McCarthy, M.P.;1872-02-05;Orangeville, Ontario, Canada;1930-05-17;lawyer;2513 days [6 year(s), 10 month(s), 18 day(s)];(1904-11-03 - 1908-10-25)|(1908-10-26 - 1911-09-20);2513 days [6 year(s), 10 month(s), 18 day(s)];;;;;;
Thomas McCarthy, M.P.;1832;Cork, Ireland;1870-09-23 (Died in Office);shipbuilder, businessman;1100 days [3 year(s), 4 day(s)];(1867-09-20 - 1870-09-23);1100 days [3 year(s), 4 day(s)];;;;;;
Gary Francis McCauley, M.P.;1940-04-01;Cochrane, Ontario, Canada;;broadcaster, clergyperson;1932 days [5 year(s), 3 month(s), 15 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;;;;
Kelly McCauley, M.P.;1964-06-23;Vancouver, British Columbia, Canada;;hotel manager;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - );3845 days [10 year(s), 6 month(s), 10 day(s)];;;;;English;
William McCleary, M.P.;1853-11-05;Thorold, Canada West;1905-11-15;lumber merchant;1597 days [4 year(s), 4 month(s), 14 day(s)];(1896-06-23 - 1900-11-06);1597 days [4 year(s), 4 month(s), 14 day(s)];;;;;;
Robert Jardine McCleave, M.P.;1922-12-19;Moncton, New Brunswick, Canada;2004-09-03;judge, editor, journalist, lawyer, dean;6542 days [17 year(s), 10 month(s), 29 day(s)];(1957-06-10 - 1963-04-07)|(1965-11-08 - 1968-06-24)|(1968-06-25 - 1977-12-08);6542 days [17 year(s), 10 month(s), 29 day(s)];;;;;;
The Hon. Abner Reid McClelan, Senator;1831-01-04;Hopewell, New Brunswick, Canada;1917-01-30;merchant;10641 days [29 year(s), 1 month(s), 19 day(s)];;;;(1867-10-23 - 1896-12-09);10641 days [29 year(s), 1 month(s), 19 day(s)];;;
Ian G. McClelland, M.P.;1942-06-22;Trail, British Columbia, Canada;;businessman;2590 days [7 year(s), 1 month(s), 3 day(s)];(1993-10-25 - 2000-11-26);2590 days [7 year(s), 1 month(s), 3 day(s)];;;;;;
Stewart McClenaghan, M.P.;1866-07-14;Oxford Mills, Ontario, Canada;1944-03-22;merchant;320 days [, 10 month(s), 16 day(s)];(1925-10-29 - 1926-09-13);320 days [, 10 month(s), 16 day(s)];;;;;;
Firman McClure, M.P.;1861-11-19;Truro, Nova Scotia, Canada;1901-03-28;editor, lawyer;1296 days [3 year(s), 6 month(s), 17 day(s)];(1897-04-20 - 1900-11-06);1296 days [3 year(s), 6 month(s), 17 day(s)];;;;;;
The Hon. Archibald Blake McCoig, M.P., Senator;1874-04-08;Tilbury East, Ontario, Canada;1927-11-21 (Died in Office);farmer, agent;6966 days [19 year(s), 26 day(s)];(1908-10-26 - 1917-12-16)|(1917-12-17 - 1922-01-03);4818 days [13 year(s), 2 month(s), 9 day(s)];;(1922-01-04 - 1927-11-21);2148 days [5 year(s), 10 month(s), 18 day(s)];;;
Phil McColeman, , M.P.;1954-03-15;Brantford, Ontario, Canada;;construction executive, property manager, project manager (construction), real estate developer;4724 days [12 year(s), 11 month(s), 6 day(s)];(2008-10-14 - 2015-10-18)|(2015-10-19 - 2021-09-19);4724 days [12 year(s), 11 month(s), 6 day(s)];;;;;;
John B. McColl, M.P.;1861-01-26;Murray Township, Canada West;1940-02-23;lawyer;3970 days [10 year(s), 10 month(s), 14 day(s)];(1900-11-07 - 1911-09-20);3970 days [10 year(s), 10 month(s), 14 day(s)];;;;;;
Thomas Henry McConica, M.P.;1855-09-21;Fulton, Ohio, United States;1933-01-19;farmer, lawyer;1423 days [3 year(s), 10 month(s), 23 day(s)];(1921-12-06 - 1925-10-28);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;;;
Thomas David McConkey, M.P.;1815-07-29;County Tyrone, Ireland;1890-02-21;merchant;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;;;
Lewis Arthur McConville, M.P.;1849-12-20;Saint-Paul de Joliette, Canada East;1882-05-09 (Died in Office);lawyer;558 days [1 year(s), 6 month(s), 10 day(s)];(1880-12-09 - 1882-06-19);558 days [1 year(s), 6 month(s), 10 day(s)];;;;;;
Charles Arthur McCool, M.P.;1853-02-27;Chichester, Canada East;1926-03-19;lumber merchant;2910 days [7 year(s), 11 month(s), 18 day(s)];(1900-11-07 - 1908-10-25);2910 days [7 year(s), 11 month(s), 18 day(s)];;;;;;
George McCormick, M.P.;1856-10-07;Lochaber, Canada East;1907-10-13;lumberman;3054 days [8 year(s), 4 month(s), 10 day(s)];(1896-06-23 - 1904-11-02);3054 days [8 year(s), 4 month(s), 10 day(s)];;;;;;
The Hon. John McCormick, Senator;1858-10-16;Sydney Mines, Nova Scotia, Canada;1936-02-21 (Died in Office);merchant;5267 days [14 year(s), 5 month(s), 2 day(s)];;;;(1921-09-21 - 1936-02-21);5267 days [14 year(s), 5 month(s), 2 day(s)];;;
Larry James Earl McCormick, M.P.;1940-01-04;Enterprise, Ontario, Canada;2011-05-03;consultant, businessman;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 1997-06-01)|(1997-06-02 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;;;
The Hon. Elaine McCoy, Q.C., Senator;;Brandon, Manitoba, Canada;2020-12-29 (Died in Office);lawyer;5760 days [15 year(s), 9 month(s), 7 day(s)];;;;(2005-03-24 - 2020-12-29);5760 days [15 year(s), 9 month(s), 7 day(s)];;;
George Ewan McCraney, M.P.;1868-07-23;Bothwell, Ontario, Canada;1921-03-18;lawyer;4332 days [11 year(s), 10 month(s), 10 day(s)];(1906-02-06 - 1908-10-25)|(1908-10-26 - 1917-12-16);4332 days [11 year(s), 10 month(s), 10 day(s)];;;;;;
William McCraney, M.P.;1831-12-15;Trafalgar, Upper Canada;1911-06-21;lumber merchant;3039 days [8 year(s), 3 month(s), 26 day(s)];(1875-01-25 - 1878-09-16)|(1882-06-20 - 1887-02-21);3039 days [8 year(s), 3 month(s), 26 day(s)];;;;;;
Francis N. McCrea, M.P.;1852-01-14;South Durham, Canada East;1926-10-30;lumber merchant;5152 days [14 year(s), 1 month(s), 9 day(s)];(1911-09-21 - 1925-10-28);5152 days [14 year(s), 1 month(s), 9 day(s)];;;;;;
The Hon. Walter McCrea, Senator;1810-11-10;Burritt's Rapids, Upper Canada;1892-06-30;lawyer;1171 days [3 year(s), 2 month(s), 14 day(s)];;;;(1867-10-23 - 1871-01-05);1171 days [3 year(s), 2 month(s), 14 day(s)];;;
William Forsythe McCreary, M.P.;1855-05-05;Pakenham, Canada West;1904-05-04 (Died in Office);lawyer;1275 days [3 year(s), 5 month(s), 27 day(s)];(1900-11-07 - 1904-05-04);1275 days [3 year(s), 5 month(s), 27 day(s)];;;;;;
The Hon. Peter L. McCreath, , P.C., F.R.S.A.;1943-07-05;Halifax, Nova Scotia, Canada;;journalist, teacher;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;;;
Karen McCrimmon, M.P.;1959;Weston, Ontario, Canada;;mediator, business owner, military;2163 days [5 year(s), 11 month(s), 2 day(s)];(2015-10-19 - 2021-09-19);2163 days [5 year(s), 11 month(s), 2 day(s)];;;;;;
William Paul Joseph McCrossan, M.P.;1942-05-20;Toronto, Ontario, Canada;;actuary;2029 days [5 year(s), 6 month(s), 20 day(s)];(1978-10-16 - 1980-02-17)|(1984-09-04 - 1988-11-20);2029 days [5 year(s), 6 month(s), 20 day(s)];;;;;;
Duncan Fletcher McCuaig, M.P.;1889-08-26;Oro Township, Ontario, Canada;1950-08-17;barrister;3528 days [9 year(s), 7 month(s), 28 day(s)];(1935-10-14 - 1945-06-10);3528 days [9 year(s), 7 month(s), 28 day(s)];;;;;;
Duncan John McCuaig, M.P.;1882-05-22;Brechin, Ontario, Canada;1960-07-20;farmer;1477 days [4 year(s), 16 day(s)];(1945-06-11 - 1949-06-26);1477 days [4 year(s), 16 day(s)];;;;;;
James Simeon McCuaig, M.P.;1819-09-29;Picton, Upper Canada;1888-08-04;businessman;1372 days [3 year(s), 9 month(s), 2 day(s)];(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;;;;;
Robert McCubbin, M.P.;1902-06-16;Springbank, Ontario, Canada;1975-02-28;farmer;6285 days [17 year(s), 2 month(s), 15 day(s)];(1940-03-26 - 1957-06-09);6285 days [17 year(s), 2 month(s), 15 day(s)];;;;;;
Robert Lorne McCuish, M.P.;1923-05-25;Winnipeg, Manitoba, Canada;1998-05-04;claims manager;3471 days [9 year(s), 6 month(s), 1 day(s)];(1979-05-22 - 1988-11-20);3471 days [9 year(s), 6 month(s), 1 day(s)];;;;;;
William Armstrong McCulla, M.P.;1837-04;Sligo, Ireland;1923-07-01;industrialist, building contractor;1472 days [4 year(s), 11 day(s)];(1887-02-22 - 1891-03-04);1472 days [4 year(s), 11 day(s)];;;;;;
Henry Byron McCulloch, M.P.;1877-07-24;Lower Stewiacke, Nova Scotia, Canada;1962-05-05;merchant;7910 days [21 year(s), 7 month(s), 27 day(s)];(1935-10-14 - 1957-06-09);7910 days [21 year(s), 7 month(s), 27 day(s)];;;;;;
Edward George McCullough, M.P.;1909-05-28;Moose Jaw, Saskatchewan, Canada;1994-06-17;farmer;3171 days [8 year(s), 8 month(s), 6 day(s)];(1945-06-11 - 1949-06-26)|(1953-08-10 - 1958-03-30);3171 days [8 year(s), 8 month(s), 6 day(s)];;;;;;
The Hon. Jonathan McCully, Senator;1809-07-25;Maccan, Nova Scotia, Canada;1877-01-02;editor, lawyer, teacher;1072 days [2 year(s), 11 month(s), 7 day(s)];;;;(1867-10-23 - 1870-09-28);1072 days [2 year(s), 11 month(s), 7 day(s)];Father of Confederation, attended the Charlottetown (Sept. 1864), Quebec (Oct. 1864) and London (Dec. 1866) Conferences.;;
The Hon. Fleming Blanchard McCurdy, P.C., M.P.;1875-02-17;Old Barns, Nova Scotia, Canada;1952-08-29;financier;3660 days [10 year(s), 8 day(s)];(1911-09-21 - 1917-12-16)|(1917-12-17 - 1920-07-12)|(1920-09-20 - 1921-12-05);3660 days [10 year(s), 8 day(s)];;;;;;
Howard Douglas McCurdy, M.P.;1932-12-10;London, Ontario, Canada;2018-02-20;professor, biochemist, author;3338 days [9 year(s), 1 month(s), 21 day(s)];(1984-09-04 - 1988-11-20)|(1988-11-21 - 1989-12-28)|(1989-12-29 - 1993-10-24);3338 days [9 year(s), 1 month(s), 21 day(s)];;;;"Of African origin.
Awarded the Order of Ontario (O.Ont.) in 2011.";;
Emmett Andrew McCusker, C.M., C.B.E, M.P.;1889-02-09;Alfred, Ontario, Canada;1973-01-20;physician;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;;;
Maclyn (Mac) Thomas McCutcheon, M.P.;1912-06-17;Croton, Ontario, Canada;1978-05-19;farmer;3493 days [9 year(s), 6 month(s), 23 day(s)];(1963-04-08 - 1972-10-29);3493 days [9 year(s), 6 month(s), 23 day(s)];;;;;;
The Hon. Malcolm Wallace McCutcheon, P.C., Q.C., C.B.E., Senator;1906-05-18;London, Ontario, Canada;1969-01-23;executive director, lawyer;2105 days [5 year(s), 9 month(s), 5 day(s)];;;;(1962-08-09 - 1968-05-13);2105 days [5 year(s), 9 month(s), 5 day(s)];;;
George Manning McDade, M.P.;1893-01-07;Saint John, New Brunswick, Canada;1966-05-25;barrister, journalist;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;;;
Sydney Smith McDermand, M.P.;1868-08-17;Vienna, Ontario, Canada;1961-08-05;farmer;379 days [1 year(s), 14 day(s)];(1920-11-22 - 1921-12-05);379 days [1 year(s), 14 day(s)];;;;;;
The Hon. John Horton McDermid, P.C., M.P.;1940-03-17;Hamilton, Ontario, Canada;2024-12-06;radio announcer, television announcer, public relations officer, marketing manager;5270 days [14 year(s), 5 month(s), 5 day(s)];(1979-05-22 - 1988-11-20)|(1988-11-21 - 1993-10-24);5270 days [14 year(s), 5 month(s), 5 day(s)];;;;;;
The Hon. John Stewart McDiarmid, M.P.;1882-12-25;Perthshire, Scotland;1965-06-05;lumber merchant;1413 days [3 year(s), 10 month(s), 13 day(s)];(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];;;;;;
The Hon. Alexander Hamilton McDonald, Senator;1919-03-16;Fleming, Saskatchewan, Canada;1980-03-31 (Died in Office);farmer, businessman;5345 days [14 year(s), 7 month(s), 19 day(s)];;;;(1965-08-13 - 1980-03-31);5345 days [14 year(s), 7 month(s), 19 day(s)];;;
Angus McDonald, M.P.;1867-07-18;Bridge End, Ontario, Canada;1926-09-25;carpenter;2031 days [5 year(s), 6 month(s), 22 day(s)];(1920-04-07 - 1925-10-28);2031 days [5 year(s), 6 month(s), 22 day(s)];;;;;;
Angus Peter McDonald, M.P.;1813;Canada;1889-01-22;contractor;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;;;
The Hon. Charles McDonald, M.P., Senator;1868;Scotland;1936-10-06 (Died in Office);pharmacist;361 days [, 11 month(s), 26 day(s)];(1925-10-29 - 1926-01-15);79 days [, 2 month(s), 18 day(s)];;(1935-12-30 - 1936-10-06);282 days [, 9 month(s), 8 day(s)];;;
The Hon. Donald McDonald, Senator;1816;Caledonia, New York, United States;1879-01-20 (Died in Office);land surveyor, civil engineer;4108 days [11 year(s), 2 month(s), 29 day(s)];;;;(1867-10-23 - 1879-01-20);4108 days [11 year(s), 2 month(s), 29 day(s)];;;
Duncan McDonald, M.P.;1839-05-15;Harris, Scotland;1903;merchant;1372 days [3 year(s), 9 month(s), 2 day(s)];(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;;;;;
Edmund Mortimer McDonald, M.P.;1825-09-29;West River, Nova Scotia, Canada;1874-05-25;printer, editor, journalist, public servant, publisher;1849 days [5 year(s), 23 day(s)];(1867-09-20 - 1872-10-11);1849 days [5 year(s), 23 day(s)];;;;;;
George William McDonald, M.P.;1875-11-20;Lucknow, Ontario, Canada;1950-04-21;merchant, implement agent, insurance agent, teacher;1625 days [4 year(s), 5 month(s), 12 day(s)];(1935-10-14 - 1940-03-25);1625 days [4 year(s), 5 month(s), 12 day(s)];;;;;;
The Hon. Hugh McDonald, P.C., M.P.;1827-05-04;South River, Nova Scotia, Canada;1899-02-28;lawyer;2238 days [6 year(s), 1 month(s), 17 day(s)];(1867-09-20 - 1873-11-04);2238 days [6 year(s), 1 month(s), 17 day(s)];;;;;;
The Hon. James McDonald, P.C., M.P.;1828-07-01;Bridgeville, Nova Scotia, Canada;1912-10-03;lawyer;1425 days [3 year(s), 10 month(s), 25 day(s)];(1872-10-12 - 1874-01-21)|(1878-09-17 - 1878-10-16)|(1878-11-04 - 1881-05-19);1425 days [3 year(s), 10 month(s), 25 day(s)];;;;;;
The Hon. John Alexander McDonald, Senator;1889-09-24;Upper Dyke Village, Nova Scotia, Canada;1962-04-16 (Died in Office);farmer;6208 days [16 year(s), 11 month(s), 29 day(s)];;;;(1945-04-18 - 1962-04-16);6208 days [16 year(s), 11 month(s), 29 day(s)];;;
The Hon. John Anthony McDonald, Senator;1875-12-24;Shediac, New Brunswick, Canada;1948-12-12 (Died in Office);manufacturer;10161 days [27 year(s), 9 month(s), 25 day(s)];;;;(1921-02-17 - 1948-12-12);10161 days [27 year(s), 9 month(s), 25 day(s)];;;
John Archibald McDonald, M.P.;1851-02-25;North East Margaree, Nova Scotia, Canada;1925-02-17;lawyer;3305 days [9 year(s), 18 day(s)];(1887-02-22 - 1887-10-17)|(1887-11-21 - 1891-11-17)|(1892-01-26 - 1896-06-22);3305 days [9 year(s), 18 day(s)];;;;;;
Ken McDonald, M.P.;1959-06;Conception Bay South, Newfoundland and Labrador, Canada;;business owner;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;;;
Lynn McDonald, M.P.;1940-07-15;New Westminster, British Columbia, Canada;;professor, sociologist, author;2232 days [6 year(s), 1 month(s), 11 day(s)];(1982-10-12 - 1988-11-20);2232 days [6 year(s), 1 month(s), 11 day(s)];;;;;;
Robert Matthew Turnbull McDonald, M.P.;1931-09-26;Hamilton, Ontario, Canada;2002-06-09;public servant, insurance agent, professional football player, businessman;2128 days [5 year(s), 9 month(s), 28 day(s)];(1957-06-10 - 1963-04-07);2128 days [5 year(s), 9 month(s), 28 day(s)];;;;;;
Wallace Reginald McDonald, M.P.;1876-07-18;Portage-du-Fort, Quebec, Canada;1946-05-02 (Died in Office);merchant;3854 days [10 year(s), 6 month(s), 19 day(s)];(1935-10-14 - 1946-05-02);3854 days [10 year(s), 6 month(s), 19 day(s)];;;;;;
"Wilfred Kennedy ""Bucko"" McDonald, M.P.";1911-10-31;Fergus, Ontario, Canada;1991-07-22;athlete, professional hockey player, coach;4382 days [11 year(s), 11 month(s), 29 day(s)];(1945-06-11 - 1949-06-26)|(1949-06-27 - 1957-06-09);4382 days [11 year(s), 11 month(s), 29 day(s)];;;;;;
